iter,block,attn_grad_angle_cos,grad_dim,ckpt_A,ckpt_B
250,0,0.3069364130496979,589824,250_ckpt.pt,250_ckpt.pt
250,1,0.2027963250875473,589824,250_ckpt.pt,250_ckpt.pt
250,2,0.12265384942293167,589824,250_ckpt.pt,250_ckpt.pt
250,3,0.20182816684246063,589824,250_ckpt.pt,250_ckpt.pt
250,4,0.17916247248649597,589824,250_ckpt.pt,250_ckpt.pt
250,5,0.14970910549163818,589824,250_ckpt.pt,250_ckpt.pt
500,0,0.19240844249725342,589824,500_ckpt.pt,500_ckpt.pt
500,1,0.05967022851109505,589824,500_ckpt.pt,500_ckpt.pt
500,2,0.036381304264068604,589824,500_ckpt.pt,500_ckpt.pt
500,3,0.04311618581414223,589824,500_ckpt.pt,500_ckpt.pt
500,4,0.035529688000679016,589824,500_ckpt.pt,500_ckpt.pt
500,5,0.0683121308684349,589824,500_ckpt.pt,500_ckpt.pt
750,0,0.13347665965557098,589824,750_ckpt.pt,750_ckpt.pt
750,1,0.03309611231088638,589824,750_ckpt.pt,750_ckpt.pt
750,2,0.025698397308588028,589824,750_ckpt.pt,750_ckpt.pt
750,3,0.035888563841581345,589824,750_ckpt.pt,750_ckpt.pt
750,4,0.006002957001328468,589824,750_ckpt.pt,750_ckpt.pt
750,5,0.014186707325279713,589824,750_ckpt.pt,750_ckpt.pt
1000,0,0.12382969260215759,589824,1000_ckpt.pt,1000_ckpt.pt
1000,1,0.008891340345144272,589824,1000_ckpt.pt,1000_ckpt.pt
1000,2,0.022113192826509476,589824,1000_ckpt.pt,1000_ckpt.pt
1000,3,0.02487916685640812,589824,1000_ckpt.pt,1000_ckpt.pt
1000,4,1.9702561985468492e-05,589824,1000_ckpt.pt,1000_ckpt.pt
1000,5,0.020137839019298553,589824,1000_ckpt.pt,1000_ckpt.pt
1250,0,0.09974280744791031,589824,1250_ckpt.pt,1250_ckpt.pt
1250,1,0.007564775180071592,589824,1250_ckpt.pt,1250_ckpt.pt
1250,2,0.008976595476269722,589824,1250_ckpt.pt,1250_ckpt.pt
1250,3,0.016904832795262337,589824,1250_ckpt.pt,1250_ckpt.pt
1250,4,0.002192853018641472,589824,1250_ckpt.pt,1250_ckpt.pt
1250,5,0.012145685032010078,589824,1250_ckpt.pt,1250_ckpt.pt
1500,0,0.04734281450510025,589824,1500_ckpt.pt,1500_ckpt.pt
1500,1,0.010870187543332577,589824,1500_ckpt.pt,1500_ckpt.pt
1500,2,0.004574271850287914,589824,1500_ckpt.pt,1500_ckpt.pt
1500,3,0.01490101683884859,589824,1500_ckpt.pt,1500_ckpt.pt
1500,4,0.0010100456420332193,589824,1500_ckpt.pt,1500_ckpt.pt
1500,5,0.010059699416160583,589824,1500_ckpt.pt,1500_ckpt.pt
1750,0,0.028753768652677536,589824,1750_ckpt.pt,1750_ckpt.pt
1750,1,0.013405844569206238,589824,1750_ckpt.pt,1750_ckpt.pt
1750,2,0.003078233450651169,589824,1750_ckpt.pt,1750_ckpt.pt
1750,3,0.01614159718155861,589824,1750_ckpt.pt,1750_ckpt.pt
1750,4,0.0017457165522500873,589824,1750_ckpt.pt,1750_ckpt.pt
1750,5,0.008601868525147438,589824,1750_ckpt.pt,1750_ckpt.pt
2000,0,0.05226391553878784,589824,2000_ckpt.pt,2000_ckpt.pt
2000,1,0.005737551022320986,589824,2000_ckpt.pt,2000_ckpt.pt
2000,2,0.0002553241210989654,589824,2000_ckpt.pt,2000_ckpt.pt
2000,3,0.013665608130395412,589824,2000_ckpt.pt,2000_ckpt.pt
2000,4,-0.003715710248798132,589824,2000_ckpt.pt,2000_ckpt.pt
2000,5,0.00818187277764082,589824,2000_ckpt.pt,2000_ckpt.pt
2250,0,0.023890873417258263,589824,2250_ckpt.pt,2250_ckpt.pt
2250,1,0.008336938917636871,589824,2250_ckpt.pt,2250_ckpt.pt
2250,2,-0.0013160379603505135,589824,2250_ckpt.pt,2250_ckpt.pt
2250,3,0.0038251886144280434,589824,2250_ckpt.pt,2250_ckpt.pt
2250,4,0.00019454343419056386,589824,2250_ckpt.pt,2250_ckpt.pt
2250,5,0.012004933319985867,589824,2250_ckpt.pt,2250_ckpt.pt
2500,0,0.019314907491207123,589824,2500_ckpt.pt,2500_ckpt.pt
2500,1,0.005261152982711792,589824,2500_ckpt.pt,2500_ckpt.pt
2500,2,0.003994916565716267,589824,2500_ckpt.pt,2500_ckpt.pt
2500,3,0.011330129578709602,589824,2500_ckpt.pt,2500_ckpt.pt
2500,4,0.004619360435754061,589824,2500_ckpt.pt,2500_ckpt.pt
2500,5,0.015431676059961319,589824,2500_ckpt.pt,2500_ckpt.pt
2750,0,0.04304836317896843,589824,2750_ckpt.pt,2750_ckpt.pt
2750,1,0.004694674164056778,589824,2750_ckpt.pt,2750_ckpt.pt
2750,2,0.0015406261663883924,589824,2750_ckpt.pt,2750_ckpt.pt
2750,3,0.00833127461373806,589824,2750_ckpt.pt,2750_ckpt.pt
2750,4,0.003872781991958618,589824,2750_ckpt.pt,2750_ckpt.pt
2750,5,0.01402890495955944,589824,2750_ckpt.pt,2750_ckpt.pt
3000,0,0.018595058470964432,589824,3000_ckpt.pt,3000_ckpt.pt
3000,1,0.006145474500954151,589824,3000_ckpt.pt,3000_ckpt.pt
3000,2,0.00329696130938828,589824,3000_ckpt.pt,3000_ckpt.pt
3000,3,0.008960848674178123,589824,3000_ckpt.pt,3000_ckpt.pt
3000,4,0.00734409736469388,589824,3000_ckpt.pt,3000_ckpt.pt
3000,5,0.014620163477957249,589824,3000_ckpt.pt,3000_ckpt.pt
3250,0,0.02303975075483322,589824,3250_ckpt.pt,3250_ckpt.pt
3250,1,0.005247286520898342,589824,3250_ckpt.pt,3250_ckpt.pt
3250,2,0.0009206869872286916,589824,3250_ckpt.pt,3250_ckpt.pt
3250,3,0.009145569056272507,589824,3250_ckpt.pt,3250_ckpt.pt
3250,4,0.005219986662268639,589824,3250_ckpt.pt,3250_ckpt.pt
3250,5,0.01066763699054718,589824,3250_ckpt.pt,3250_ckpt.pt
3500,0,0.025035850703716278,589824,3500_ckpt.pt,3500_ckpt.pt
3500,1,0.007683569099754095,589824,3500_ckpt.pt,3500_ckpt.pt
3500,2,0.0016258510295301676,589824,3500_ckpt.pt,3500_ckpt.pt
3500,3,0.010836124420166016,589824,3500_ckpt.pt,3500_ckpt.pt
3500,4,0.007423123810440302,589824,3500_ckpt.pt,3500_ckpt.pt
3500,5,0.007827495224773884,589824,3500_ckpt.pt,3500_ckpt.pt
3750,0,0.029002385213971138,589824,3750_ckpt.pt,3750_ckpt.pt
3750,1,0.004980749916285276,589824,3750_ckpt.pt,3750_ckpt.pt
3750,2,-0.0007531450246460736,589824,3750_ckpt.pt,3750_ckpt.pt
3750,3,0.007217989303171635,589824,3750_ckpt.pt,3750_ckpt.pt
3750,4,0.007359620183706284,589824,3750_ckpt.pt,3750_ckpt.pt
3750,5,0.004624541383236647,589824,3750_ckpt.pt,3750_ckpt.pt
4000,0,0.029629968106746674,589824,4000_ckpt.pt,4000_ckpt.pt
4000,1,0.00427746819332242,589824,4000_ckpt.pt,4000_ckpt.pt
4000,2,-0.00018015486421063542,589824,4000_ckpt.pt,4000_ckpt.pt
4000,3,0.009756299667060375,589824,4000_ckpt.pt,4000_ckpt.pt
4000,4,0.009345123544335365,589824,4000_ckpt.pt,4000_ckpt.pt
4000,5,0.006779367569833994,589824,4000_ckpt.pt,4000_ckpt.pt
4250,0,0.023458823561668396,589824,4250_ckpt.pt,4250_ckpt.pt
4250,1,0.004678454250097275,589824,4250_ckpt.pt,4250_ckpt.pt
4250,2,-2.8502674467745237e-05,589824,4250_ckpt.pt,4250_ckpt.pt
4250,3,0.00898266863077879,589824,4250_ckpt.pt,4250_ckpt.pt
4250,4,0.008218963630497456,589824,4250_ckpt.pt,4250_ckpt.pt
4250,5,0.003937189467251301,589824,4250_ckpt.pt,4250_ckpt.pt
4500,0,0.022494228556752205,589824,4500_ckpt.pt,4500_ckpt.pt
4500,1,0.002863580361008644,589824,4500_ckpt.pt,4500_ckpt.pt
4500,2,-0.002827369375154376,589824,4500_ckpt.pt,4500_ckpt.pt
4500,3,0.007354790344834328,589824,4500_ckpt.pt,4500_ckpt.pt
4500,4,0.007907180115580559,589824,4500_ckpt.pt,4500_ckpt.pt
4500,5,0.007935959845781326,589824,4500_ckpt.pt,4500_ckpt.pt
4750,0,0.012200421653687954,589824,4750_ckpt.pt,4750_ckpt.pt
4750,1,0.0043516759760677814,589824,4750_ckpt.pt,4750_ckpt.pt
4750,2,-0.0023155880626291037,589824,4750_ckpt.pt,4750_ckpt.pt
4750,3,0.006574098486453295,589824,4750_ckpt.pt,4750_ckpt.pt
4750,4,0.009346390143036842,589824,4750_ckpt.pt,4750_ckpt.pt
4750,5,0.0077741737477481365,589824,4750_ckpt.pt,4750_ckpt.pt
5000,0,0.014795120805501938,589824,5000_ckpt.pt,5000_ckpt.pt
5000,1,0.0032119611278176308,589824,5000_ckpt.pt,5000_ckpt.pt
5000,2,-0.002668286906555295,589824,5000_ckpt.pt,5000_ckpt.pt
5000,3,0.006971292197704315,589824,5000_ckpt.pt,5000_ckpt.pt
5000,4,0.00794950220733881,589824,5000_ckpt.pt,5000_ckpt.pt
5000,5,0.008170227520167828,589824,5000_ckpt.pt,5000_ckpt.pt
